,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The 1975,0.247,0.412,2,-14.227,1,0.0434,0.00113,0.472,0.218,0.0509,107.9,audio_features,6dcirOaRwdaTJE2h2g8J7Y,spotify:track:6dcirOaRwdaTJE2h2g8J7Y,https://api.spotify.com/v1/tracks/6dcirOaRwdaTJE2h2g8J7Y,https://api.spotify.com/v1/audio-analysis/6dcirOaRwdaTJE2h2g8J7Y,79920,4
Give Yourself A Try,0.334,0.786,11,-5.002,1,0.0592,3.17e-05,0.0,0.517,0.901,182.933,audio_features,4rmIfFUZhhi9sS5IYtpkXw,spotify:track:4rmIfFUZhhi9sS5IYtpkXw,https://api.spotify.com/v1/tracks/4rmIfFUZhhi9sS5IYtpkXw,https://api.spotify.com/v1/audio-analysis/4rmIfFUZhhi9sS5IYtpkXw,196589,4
TOOTIMETOOTIMETOOTIME,0.667,0.824,8,-5.867,1,0.0665,0.177,0.0152,0.0933,0.518,114.998,audio_features,33DzKnwuBE6lfOiADwzd5E,spotify:track:33DzKnwuBE6lfOiADwzd5E,https://api.spotify.com/v1/tracks/33DzKnwuBE6lfOiADwzd5E,https://api.spotify.com/v1/audio-analysis/33DzKnwuBE6lfOiADwzd5E,207851,4
How To Draw / Petrichor,0.413,0.79,11,-7.946,1,0.274,0.776,0.247,0.0764,0.0391,138.779,audio_features,1bTfkhyNrSmthxL7P5yGDJ,spotify:track:1bTfkhyNrSmthxL7P5yGDJ,https://api.spotify.com/v1/tracks/1bTfkhyNrSmthxL7P5yGDJ,https://api.spotify.com/v1/audio-analysis/1bTfkhyNrSmthxL7P5yGDJ,349622,4
Love It If We Made It,0.472,0.745,4,-5.297,1,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,audio_features,6WmIyn2fx1PKQ0XDpYj4VR,spotify:track:6WmIyn2fx1PKQ0XDpYj4VR,https://api.spotify.com/v1/tracks/6WmIyn2fx1PKQ0XDpYj4VR,https://api.spotify.com/v1/audio-analysis/6WmIyn2fx1PKQ0XDpYj4VR,252926,4
Be My Mistake,0.572,0.155,6,-14.405,1,0.0344,0.835,0.000137,0.0906,0.0949,109.923,audio_features,18UsAG7SfOQ5sxJEdjAMH0,spotify:track:18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/tracks/18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/audio-analysis/18UsAG7SfOQ5sxJEdjAMH0,256689,3
Sincerity Is Scary,0.664,0.524,2,-5.178,1,0.0283,0.0495,8.18e-06,0.075,0.475,91.027,audio_features,6HguG9HRb1Ke1bhihfE4m8,spotify:track:6HguG9HRb1Ke1bhihfE4m8,https://api.spotify.com/v1/tracks/6HguG9HRb1Ke1bhihfE4m8,https://api.spotify.com/v1/audio-analysis/6HguG9HRb1Ke1bhihfE4m8,225956,4
I Like America & America Likes Me,0.444,0.669,3,-6.23,1,0.0432,0.0368,0.0,0.109,0.0731,137.977,audio_features,1RHuBRoACkLRo2vjGqFCwf,spotify:track:1RHuBRoACkLRo2vjGqFCwf,https://api.spotify.com/v1/tracks/1RHuBRoACkLRo2vjGqFCwf,https://api.spotify.com/v1/audio-analysis/1RHuBRoACkLRo2vjGqFCwf,206756,4
The Man Who Married A Robot / Love Theme,0.541,0.379,0,-13.21,1,0.0808,0.932,0.000332,0.117,0.385,68.041,audio_features,48ndiF5dcv7WWm8KBcSm2X,spotify:track:48ndiF5dcv7WWm8KBcSm2X,https://api.spotify.com/v1/tracks/48ndiF5dcv7WWm8KBcSm2X,https://api.spotify.com/v1/audio-analysis/48ndiF5dcv7WWm8KBcSm2X,213335,3
Inside Your Mind,0.161,0.437,4,-8.869,1,0.0355,0.349,0.000677,0.13,0.32,80.699,audio_features,0bXxKkYJNxOqHjeOrYanvS,spotify:track:0bXxKkYJNxOqHjeOrYanvS,https://api.spotify.com/v1/tracks/0bXxKkYJNxOqHjeOrYanvS,https://api.spotify.com/v1/audio-analysis/0bXxKkYJNxOqHjeOrYanvS,230998,3
